Week,Goud,Overig,Liquiditeitsoperaties aan banken,Opkoopprogramma's
16/10/2001,128235,449014,176542,28293
23/10/2001,128235,450892,203189,28123
30/10/2001,128234,450284,203107,28371
06/11/2001,128233,451893,187030,28498
13/11/2001,128233,450666,164621,28464
20/11/2001,128233,450285,214783,28203
27/11/2001,128233,452318,193762,28178
04/12/2001,128233,452896,201288,28273
11/12/2001,128228,454493,199026,28113
18/12/2001,128228,454681,194462,28180
25/12/2001,128227,452767,186228,28210
01/01/2002,126801,456283,203597,27981
08/01/2002,126801,543398,201109,27924
15/01/2002,126801,543380,174073,27847
22/01/2002,126801,545098,165037,27917
29/01/2002,126801,499906,185053,27927
05/02/2002,126801,454669,201055,27601
12/02/2002,126801,453168,189033,27922
19/02/2002,126801,455813,186017,28163
26/02/2002,126801,451823,169730,29048
05/03/2002,126801,451168,183030,29172
12/03/2002,126766,452066,178014,29479
19/03/2002,126869,454644,168094,29367
26/03/2002,126814,455068,170646,29312
02/04/2002,139808,453224,192716,29153
09/04/2002,139808,453226,178008,29100
16/04/2002,139808,449948,163109,30051
23/04/2002,139808,451699,157009,30288
30/04/2002,139502,449842,169028,30463
07/05/2002,139502,445165,169031,30135
14/05/2002,139502,446839,174946,30330
21/05/2002,139502,447053,169022,29933
28/05/2002,139458,446165,173028,30161
04/06/2002,139419,445603,178381,29930
11/06/2002,139414,445766,173309,29944
18/06/2002,139414,447041,167022,30087
25/06/2002,139378,448139,175937,30220
02/07/2002,128323,421083,200958,30481
09/07/2002,128323,418722,187023,30648
16/07/2002,128323,420791,186016,30505
23/07/2002,128323,422550,194378,30744
30/07/2002,128323,419827,204734,30656
06/08/2002,128323,418754,194032,30482
13/08/2002,128323,417610,192067,30630
20/08/2002,128323,415408,189105,30673
27/08/2002,128323,415813,189037,30919
03/09/2002,128323,414120,197034,31361
10/09/2002,128322,414673,191040,31538
17/09/2002,128322,416286,186051,31480
24/09/2002,128322,418745,194047,31524
01/10/2002,128322,418912,194085,31503
08/10/2002,131211,424624,190377,32125
15/10/2002,131211,424211,191031,32253
22/10/2002,131211,423723,187124,32256
29/10/2002,131189,425560,209137,32142
05/11/2002,131157,426166,190072,32264
12/11/2002,131157,424775,189009,32554
19/11/2002,131137,426428,183092,32675
26/11/2002,131137,428168,196263,33099
03/12/2002,131106,426024,206092,33242
10/12/2002,131065,428706,219704,33231
17/12/2002,131034,432665,221816,33205
24/12/2002,130961,432429,223805,33253
31/12/2002,130858,432013,236589,33098
07/01/2003,130739,411312,225117,27824
14/01/2003,130702,408932,219066,27919
21/01/2003,130686,405952,208613,28016
28/01/2003,130664,404334,215343,28522
04/02/2003,130641,407845,219190,29054
11/02/2003,130641,406709,214019,30675
18/02/2003,130640,406890,206155,31685
25/02/2003,130314,405703,216190,32602
04/03/2003,130314,403665,223186,33484
11/03/2003,130314,403976,182175,33495
18/03/2003,130314,401792,270123,36694
25/03/2003,130314,399219,234917,37823
01/04/2003,130314,398162,232049,38149
08/04/2003,122728,392901,220040,38760
15/04/2003,122728,391067,217097,39658
22/04/2003,122728,390948,223000,39785
29/04/2003,122274,391173,247011,40185
06/05/2003,122274,389793,207989,40295
13/05/2003,122274,390319,211999,40543
20/05/2003,122274,390544,218054,40996
27/05/2003,122274,391177,238095,42348
03/06/2003,122246,389543,247352,42294
10/06/2003,122245,388236,223508,43067
17/06/2003,122245,389190,246854,43381
24/06/2003,122244,387673,237979,43811
01/07/2003,122244,389295,257883,44146
08/07/2003,119980,386925,251103,44099
15/07/2003,119980,388489,245051,44476
22/07/2003,119980,386707,244057,44530
29/07/2003,119947,384145,277751,46632
05/08/2003,119993,383935,252077,46937
12/08/2003,119993,383428,262070,47092
19/08/2003,119993,381194,250023,47182
26/08/2003,119785,380843,251678,47908
02/09/2003,119785,382473,264053,48499
09/09/2003,119785,380344,260028,49344
16/09/2003,119785,381489,253037,50047
23/09/2003,119779,380317,263034,50444
30/09/2003,119722,382271,276082,51164
07/10/2003,130822,382322,249311,51157
14/10/2003,130822,383142,250032,51931
21/10/2003,130822,380194,240255,52407
28/10/2003,130822,381134,248044,52517
04/11/2003,130769,382780,252050,53007
11/11/2003,130717,383350,246128,53354
18/11/2003,130609,381099,247031,53124
25/11/2003,130534,380982,262510,53037
02/12/2003,130438,378962,270312,53627
09/12/2003,130374,381319,292351,54294
16/12/2003,130267,380889,282024,53865
23/12/2003,130214,380347,284029,54115
30/12/2003,130187,374818,276022,54130
06/01/2004,130344,348607,298047,61323
13/01/2004,130344,349164,270399,62044
20/01/2004,130344,351014,269042,62204
27/01/2004,130344,350261,279606,63069
03/02/2004,130344,351397,279024,63627
10/02/2004,130344,351349,270015,65306
17/02/2004,130343,348797,268024,65996
24/02/2004,130343,345465,275029,66094
02/03/2004,130343,343245,283903,66533
09/03/2004,130343,342578,285903,67968
16/03/2004,130343,342764,277698,68884
23/03/2004,130343,341944,281509,69049
30/03/2004,130342,341613,289539,68855
06/04/2004,136529,349083,293004,68467
13/04/2004,136529,348194,293528,69862
20/04/2004,136529,348184,280507,70036
27/04/2004,136529,348966,286034,71189
04/05/2004,136529,350907,295059,71043
11/05/2004,136528,351722,286132,71832
18/05/2004,136160,351404,282000,72482
25/05/2004,136160,351658,298622,73552
01/06/2004,136160,350091,308166,72833
08/06/2004,136160,349884,311147,72923
15/06/2004,136131,350744,308588,73590
22/06/2004,136131,350862,307006,73796
29/06/2004,136131,350790,335169,73748
06/07/2004,127418,350556,331002,73383
13/07/2004,127417,351816,328013,73780
20/07/2004,127418,350731,317516,73175
27/07/2004,127382,352896,334502,72851
03/08/2004,127382,355877,333003,67487
10/08/2004,127382,354827,330016,67952
17/08/2004,127382,353752,322503,67999
24/08/2004,127382,355734,320998,67862
31/08/2004,127382,352505,334047,67942
07/09/2004,127382,352314,329003,67904
14/09/2004,127382,351811,327554,67863
21/09/2004,127382,351877,328008,67981
28/09/2004,127381,353318,337516,67596
05/10/2004,130657,350232,334021,67384
12/10/2004,130641,351401,330512,68020
19/10/2004,130614,350796,319531,67465
26/10/2004,130598,349171,328006,67643
02/11/2004,130581,351711,343015,68471
09/11/2004,130423,353779,339510,69534
16/11/2004,130406,353334,333052,70287
23/11/2004,130379,354919,337515,71024
30/11/2004,130344,352553,345005,71163
07/12/2004,130310,355301,348649,71215
14/12/2004,130288,355925,357056,70960
21/12/2004,129947,357904,351295,70053
28/12/2004,129930,357278,358656,69842
04/01/2005,125730,343146,345113,70244
11/01/2005,125713,343387,334015,70522
18/01/2005,125670,344363,340033,70980
25/01/2005,125609,344188,354530,71841
01/02/2005,125558,343618,353005,72601
08/02/2005,125477,343708,357501,72786
15/02/2005,125420,342663,355522,73500
22/02/2005,125327,343533,356702,74776
01/03/2005,125228,343719,369509,75393
08/03/2005,125160,345337,360013,76418
15/03/2005,125071,345088,357500,77716
22/03/2005,124977,347341,361545,78797
29/03/2005,124901,345718,376079,79736
05/04/2005,128058,352628,366751,79717
12/04/2005,128024,353500,365013,80706
19/04/2005,127990,352981,360503,80724
26/04/2005,127959,354464,372004,80116
03/05/2005,127431,356741,370512,79795
10/05/2005,127404,356363,363206,80140
17/05/2005,127377,356931,357527,81107
24/05/2005,127344,357521,362506,82433
31/05/2005,127257,356375,361203,82946
07/06/2005,127116,357849,371994,83191
14/06/2005,126955,357996,369048,83966
21/06/2005,126825,356985,373581,83448
28/06/2005,126717,356852,400069,84230
05/07/2005,138451,366057,398187,85746
12/07/2005,138375,365437,397509,87410
19/07/2005,138298,367058,388514,85583
26/07/2005,138123,367147,398513,85878
02/08/2005,138078,366055,407007,85656
09/08/2005,137991,366945,404001,85928
16/08/2005,137874,365399,398004,86480
23/08/2005,137829,366973,393030,86274
30/08/2005,137829,366828,400031,87582
06/09/2005,137829,367486,383019,88666
13/09/2005,137829,366711,384509,89933
20/09/2005,137772,367386,369502,89589
27/09/2005,137772,368781,377550,90077
