Week,Goud,Overig,Liquiditeitsoperaties aan banken,Opkoopprogramma's
06/11/2012,479108,839637,1131744,590204
13/11/2012,479108,842493,1127854,589416
20/11/2012,479109,850734,1124344,587118
27/11/2012,479110,844749,1125212,586209
04/12/2012,479112,850698,1117398,586086
11/12/2012,479113,853261,1112129,585919
18/12/2012,479113,846431,1113699,585569
25/12/2012,479115,824531,1122338,585216
01/01/2013,479116,825156,1128794,585132
08/01/2013,438686,815541,1116994,584944
15/01/2013,438687,814597,1113646,585602
22/01/2013,438687,757682,1163204,582638
29/01/2013,438686,751087,1156233,582775
05/02/2013,438687,739559,1015482,575967
12/02/2013,438688,734938,1017150,576795
19/02/2013,438688,699366,1010614,607057
26/02/2013,438690,694104,1008537,607492
05/03/2013,438690,687819,946086,608024
12/03/2013,438691,687521,931808,607927
19/03/2013,438692,682502,920791,605859
26/03/2013,438692,691401,906244,606363
02/04/2013,435316,691127,903619,618064
09/04/2013,435316,696065,896763,618953
16/04/2013,435317,696954,884212,617971
23/04/2013,435317,698901,869916,613129
30/04/2013,435316,712128,852233,611575
07/05/2013,435316,717741,846437,608626
14/05/2013,435317,711770,850486,608704
21/05/2013,435317,696368,836609,609112
28/05/2013,435316,684943,835423,604520
04/06/2013,435315,684428,824113,605593
11/06/2013,435315,685135,821899,604251
18/06/2013,435315,687628,821785,605956
25/06/2013,435315,687466,815645,606895
02/07/2013,319968,678313,822689,609453
09/07/2013,319967,680549,811424,608407
16/07/2013,319968,673085,803340,606940
23/07/2013,319968,668056,804371,606564
30/07/2013,319968,668002,800574,607637
06/08/2013,319968,665490,804920,600712
13/08/2013,319968,663093,793600,602661
20/08/2013,319968,653759,790931,603863
27/08/2013,319968,647980,790349,602535
03/09/2013,319969,647003,790549,603118
10/09/2013,319969,645950,786512,604244
17/09/2013,319969,646388,779495,604275
24/09/2013,319969,647162,775417,604043
01/10/2013,319969,650657,767304,600114
08/10/2013,343919,645194,761567,599900
15/10/2013,343919,643768,753023,599711
22/10/2013,343919,634730,749730,599583
29/10/2013,343919,635937,743902,594986
05/11/2013,343919,636967,740153,593354
12/11/2013,343920,638650,729686,593175
19/11/2013,343920,640980,721884,592233
26/11/2013,343920,639794,717615,592272
03/12/2013,343920,635814,719033,592189
10/12/2013,343920,636136,709297,591441
17/12/2013,343920,634147,713016,591937
24/12/2013,343920,635024,723303,585284
31/12/2013,343920,638287,717142,586050
07/01/2014,303156,631961,752259,591184
14/01/2014,303156,630644,695884,590823
21/01/2014,303157,633400,672560,588743
28/01/2014,303157,635698,693177,589264
04/02/2014,303157,634563,691934,587407
11/02/2014,303157,629665,671271,586245
18/02/2014,303158,633134,666608,587199
25/02/2014,303158,630622,665226,585842
04/03/2014,303158,627034,664508,586379
11/03/2014,303158,627116,654015,588035
18/03/2014,303134,627868,648892,587877
25/03/2014,303134,630407,644074,588465
01/04/2014,303134,617852,640766,590351
08/04/2014,326548,618715,627351,588373
15/04/2014,326547,617740,636727,588067
22/04/2014,326546,616630,636308,588317
29/04/2014,326547,617686,638141,586687
06/05/2014,326544,620611,688342,581631
13/05/2014,326544,615682,642356,583136
20/05/2014,326544,623354,651477,583634
27/05/2014,326545,620500,640039,576643
03/06/2014,326477,617124,679749,573745
10/06/2014,326478,621708,653280,570850
17/06/2014,326478,620220,607617,569966
24/06/2014,326479,619104,565019,569373
01/07/2014,326479,622673,568373,570574
08/07/2014,334430,623065,545900,566898
15/07/2014,334430,624715,529162,568776
22/07/2014,334431,630600,531683,565760
29/07/2014,334431,635755,507819,566307
05/08/2014,334432,634907,533535,556809
12/08/2014,334432,626783,504912,559131
19/08/2014,334432,626833,501031,560880
26/08/2014,334433,623235,497636,557715
02/09/2014,334433,626852,517578,559853
09/09/2014,334433,624231,492726,560740
16/09/2014,334434,624615,483131,561622
23/09/2014,334434,620061,472263,561395
30/09/2014,334434,621726,520227,561848
07/10/2014,334530,643371,513916,561851
14/10/2014,334531,640301,506760,561093
21/10/2014,334531,636880,499224,559090
28/10/2014,334531,633171,503904,561177
04/11/2014,334532,632823,527627,557088
11/11/2014,334532,631842,502816,560547
18/11/2014,334532,633865,496721,563038
25/11/2014,334532,636228,498964,563441
02/12/2014,334530,635333,513786,570243
09/12/2014,334529,637726,491073,574763
16/12/2014,334529,636114,484203,579900
23/12/2014,334529,634997,579386,585890
30/12/2014,334529,635713,592486,587519
06/01/2015,343815,650025,629741,592414
13/01/2015,343866,646105,585645,593205
20/01/2015,343867,645909,573823,594623
27/01/2015,343867,644231,572145,599553
03/02/2015,343867,655083,579646,603358
10/02/2015,343867,648261,557099,600985
17/02/2015,343867,702619,500152,606487
24/02/2015,343867,711245,502548,610134
03/03/2015,343867,711725,488659,611585
10/03/2015,343867,706211,470860,613881
17/03/2015,343840,708976,465292,624008
24/03/2015,343839,704969,465609,643424
31/03/2015,343839,706039,538300,662623
07/04/2015,383965,749577,521246,679338
14/04/2015,383966,748258,525898,690841
21/04/2015,383966,744167,514142,701787
28/04/2015,383965,745976,513326,717523
05/05/2015,383965,746408,517274,724906
12/05/2015,383966,747566,504035,742287
19/05/2015,383966,747351,499450,757860
26/05/2015,383965,749635,497228,771725
02/06/2015,383966,750199,495548,786953
09/06/2015,383966,753559,487989,802812
16/06/2015,383966,755441,485819,816872
23/06/2015,383966,757652,485446,824883
30/06/2015,383966,760747,555596,839235
07/07/2015,364459,743336,544104,845104
14/07/2015,364459,744494,541777,857465
21/07/2015,364458,745553,542744,866217
28/07/2015,364458,742939,542575,875187
04/08/2015,364458,740270,543636,888228
11/08/2015,364458,738249,534736,899191
18/08/2015,364458,731586,534015,911888
25/08/2015,364458,732591,533190,919015
01/09/2015,364458,734171,528468,931683
08/09/2015,364457,731361,527355,945138
15/09/2015,364458,734541,527197,961084
22/09/2015,364456,735393,526955,975510
29/09/2015,364455,738854,527329,989993
06/10/2015,348849,736787,539538,1001661
13/10/2015,348849,730594,536914,1015943
20/10/2015,348849,727702,535923,1028083
27/10/2015,348849,728734,532321,1043329
03/11/2015,348850,731142,531213,1053791
10/11/2015,348850,730274,524210,1065569
17/11/2015,348850,728067,525286,1080171
24/11/2015,348850,725644,523266,1094683
01/12/2015,348850,721458,525212,1111220
08/12/2015,348850,719423,521394,1128983
15/12/2015,348850,717027,520617,1145442
22/12/2015,348851,714989,538174,1157241
29/12/2015,348851,713130,542488,1163346
05/01/2016,338713,722284,558989,1161159
12/01/2016,338713,718887,540177,1169112
19/01/2016,338713,718768,535352,1185432
26/01/2016,338713,718960,534762,1202092
02/02/2016,338713,717432,534037,1218149
09/02/2016,338713,715351,526227,1231622
16/02/2016,338713,717725,525104,1246061
23/02/2016,338713,712173,526731,1259958
01/03/2016,338713,716224,522610,1272752
08/03/2016,338713,714879,518038,1288211
15/03/2016,338713,714569,517576,1301463
22/03/2016,338713,715659,516443,1315383
29/03/2016,338713,713806,517369,1327808
05/04/2016,377304,702537,525054,1336866
12/04/2016,377304,700429,519057,1356346
19/04/2016,377304,698570,518966,1371267
26/04/2016,377304,698309,516764,1390806
03/05/2016,377304,702190,514930,1406335
10/05/2016,377305,702705,512369,1425410
17/05/2016,377277,702519,510072,1442972
24/05/2016,377277,707495,508590,1460739
31/05/2016,377277,697662,511671,1480871
07/06/2016,377277,698763,503218,1499354
14/06/2016,377277,697139,502124,1517326
21/06/2016,377277,694909,500395,1537007
28/06/2016,377277,693639,501186,1558993
05/07/2016,413139,706024,540033,1573422
12/07/2016,413140,704574,531224,1588982
19/07/2016,413140,700868,529283,1605886
26/07/2016,413140,698421,530560,1623717
02/08/2016,413141,698167,533619,1639382
09/08/2016,413141,695925,527084,1649989
16/08/2016,413141,694608,525603,1663216
23/08/2016,413141,698051,525660,1676471
30/08/2016,413141,701572,526795,1688979
06/09/2016,413141,699882,526527,1702225
13/09/2016,413142,699722,524503,1721375
20/09/2016,413142,700047,524352,1734832
27/09/2016,413142,700710,525976,1751574
04/10/2016,412633,708884,552557,1764071
11/10/2016,412633,706094,548247,1784452
18/10/2016,412633,704750,546771,1805127
25/10/2016,412633,713031,547263,1822002
01/11/2016,412634,706039,548298,1840430
08/11/2016,412634,704104,545147,1856570
15/11/2016,412634,702239,543748,1875645
22/11/2016,412634,700285,544890,1895544
29/11/2016,412634,693592,546105,1913899
06/12/2016,412634,695892,546587,1932267
13/12/2016,412635,700099,546451,1950588
20/12/2016,412634,703558,547437,1967103
27/12/2016,412635,700933,589801,1982339
03/01/2017,382061,710068,595873,1974899
10/01/2017,382062,712775,590825,1986976
17/01/2017,382062,715823,589065,2010352
24/01/2017,382061,718136,588996,2030431
31/01/2017,382061,720278,588671,2049756
07/02/2017,382061,717113,586310,2064015
14/02/2017,382061,720261,584683,2083937
21/02/2017,382061,720947,583124,2101761
28/02/2017,382061,721848,584742,2119591
07/03/2017,382061,722491,579294,2136495
14/03/2017,382061,725856,578139,2153799
21/03/2017,382061,721477,580501,2172874
28/03/2017,382061,719618,586816,2188542
04/04/2017,404188,719480,784224,2192838
11/04/2017,404189,718347,782487,2211330
18/04/2017,404189,716787,783134,2225886
25/04/2017,404188,714844,784153,2236213
02/05/2017,404167,714368,782075,2247422
09/05/2017,404124,713145,782030,2257527
16/05/2017,404102,713806,781232,2271448
23/05/2017,404103,714918,781497,2285175
30/05/2017,404102,708977,783458,2299148
06/06/2017,404103,709337,780105,2310998
13/06/2017,404075,708422,779998,2325634
20/06/2017,404075,711044,779122,2338700
27/06/2017,404050,710386,779630,2352084
04/07/2017,379091,692558,779252,2358609
11/07/2017,379091,685474,775712,2374419
18/07/2017,379091,685220,774610,2390365
25/07/2017,379091,682362,774338,2399967
01/08/2017,379092,681614,776261,2411313
08/08/2017,379092,679470,773145,2414778
15/08/2017,379092,677383,773484,2425996
22/08/2017,379092,677520,773671,2435430
29/08/2017,379078,677368,776282,2446153
05/09/2017,379078,673865,774663,2456121
12/09/2017,379078,676121,772833,2471744
19/09/2017,379078,673181,772476,2484140
26/09/2017,379079,677074,773563,2498495
03/10/2017,379047,666694,768453,2504430
10/10/2017,379044,669226,767519,2521895
17/10/2017,379044,669461,785537,2537581
24/10/2017,379044,668749,768212,2547403
31/10/2017,379044,662805,769353,2560020
07/11/2017,379044,659184,766877,2568095
14/11/2017,379044,658263,766535,2583890
21/11/2017,379045,667038,766772,2599009
28/11/2017,379045,667354,767109,2613966
05/12/2017,379045,665562,768934,2627250
12/12/2017,379045,668366,766089,2643079
19/12/2017,379045,671277,765741,2655793
26/12/2017,379045,675607,764286,2668346
02/01/2018,376300,670227,764310,2660726
09/01/2018,376301,663653,763603,2662444
16/01/2018,376301,659795,763744,2672899
23/01/2018,376301,665113,763294,2679295
30/01/2018,376301,665185,762848,2688724
06/02/2018,376301,666985,762604,2685261
13/02/2018,376302,660246,762215,2694909
20/02/2018,376302,663436,762079,2702964
27/02/2018,376302,664632,762239,2708367
06/03/2018,376279,665441,762037,2715603
13/03/2018,376280,667321,761415,2725067
20/03/2018,376280,663900,761289,2731173
27/03/2018,376253,662874,761911,2738034
03/04/2018,374112,660856,761932,2732679
10/04/2018,374112,653332,761622,2742431
17/04/2018,374112,658786,761549,2753706
24/04/2018,374112,657331,761043,2751487
01/05/2018,374071,657601,761915,2760757
08/05/2018,374071,654628,761653,2762212
15/05/2018,374072,655183,761139,2771667
22/05/2018,374072,650921,758731,2777853
29/05/2018,374072,648551,758955,2781073
05/06/2018,374072,650107,758309,2785256
12/06/2018,374073,650596,757822,2794723
19/06/2018,374073,651076,757815,2795501
26/06/2018,374032,649648,758203,2803688
03/07/2018,373205,668461,744762,2806090
10/07/2018,373206,663060,744299,2810670
17/07/2018,373206,660519,744009,2822123
24/07/2018,373206,660427,743988,2827383
31/07/2018,373206,660815,742569,2835416
07/08/2018,373207,658332,743315,2827404
14/08/2018,373203,657464,743259,2834182
21/08/2018,373202,658810,743348,2838672
28/08/2018,373203,659346,743322,2843566
04/09/2018,373203,657989,741618,2848545
11/09/2018,373202,659993,742700,2858068
18/09/2018,373203,659136,743345,2863159
25/09/2018,373203,659867,744032,2868719
02/10/2018,355452,663085,732054,2869201
09/10/2018,355453,659322,732801,2877469
16/10/2018,355453,665058,732842,2879540
23/10/2018,355453,662107,733374,2877344
30/10/2018,355453,656165,733422,2879752
06/11/2018,355454,653731,734316,2878662
13/11/2018,355454,654699,732765,2883304
20/11/2018,355454,661175,733004,2888670
27/11/2018,355454,666109,732915,2892413
04/12/2018,355455,678549,733467,2892828
11/12/2018,355455,675138,733315,2899077
18/12/2018,355455,675376,733827,2903458
25/12/2018,355455,677007,733450,2909007
01/01/2019,355455,672644,733460,2907444
08/01/2019,389765,679976,732106,2892454
15/01/2019,389769,684004,731202,2898427
22/01/2019,389768,687944,730207,2898029
29/01/2019,389768,689557,730450,2899124
05/02/2019,389768,685537,729975,2890225
12/02/2019,389768,685258,728772,2892668
19/02/2019,389769,688435,729274,2895309
26/02/2019,389769,681301,729283,2891709
05/03/2019,389771,688074,729109,2879345
12/03/2019,389772,689933,728490,2883130
19/03/2019,389772,684032,728715,2878069
26/03/2019,389773,681964,728242,2877005
02/04/2019,402313,699667,725324,2868481
09/04/2019,402156,699872,724073,2873504
16/04/2019,402157,702567,724082,2873020
23/04/2019,402143,704387,727802,2873599
30/04/2019,402108,701398,724703,2869407
07/05/2019,402094,699587,724345,2857892
14/05/2019,402094,699774,723996,2859513
21/05/2019,402095,696718,724001,2862052
28/05/2019,402095,702978,723543,2864000
04/06/2019,402095,700405,724931,2858530
11/06/2019,402094,704860,723958,2859529
18/06/2019,402051,700484,724657,2854159
25/06/2019,402051,702879,724901,2852849
02/07/2019,431846,712598,699067,2849103
09/07/2019,431848,704334,697708,2843573
16/07/2019,431850,710207,695564,2846755
23/07/2019,431851,718938,695529,2841864
30/07/2019,431854,714940,695559,2843363
06/08/2019,431855,718645,696196,2832484
13/08/2019,431858,716740,695951,2833202
20/08/2019,431859,714523,695576,2834119
27/08/2019,431860,718126,695556,2835459
03/09/2019,431861,720666,695654,2835533
10/09/2019,431862,722146,694672,2832957
17/09/2019,431868,716132,694673,2831930
24/09/2019,431868,705572,694327,2831211
01/10/2019,431869,706327,666583,2833325
08/10/2019,474072,725630,665578,2829831
15/10/2019,474074,721483,666052,2830651
22/10/2019,474063,720043,665711,2827298
29/10/2019,474066,721565,664872,2820372
05/11/2019,474066,719290,665812,2817090
12/11/2019,474067,718523,665154,2826391
19/11/2019,474060,721476,665116,2831267
26/11/2019,474061,719463,665456,2837551
03/12/2019,474062,718534,666419,2839276
10/12/2019,474063,728243,665250,2841725
17/12/2019,474064,727596,665256,2846652
24/12/2019,474067,735353,618953,2854219
31/12/2019,474067,739508,624147,2854276
07/01/2020,470743,728916,617657,2846721
14/01/2020,470744,717002,617314,2850712
21/01/2020,470745,719136,617002,2853457
28/01/2020,470745,726291,617141,2860192
04/02/2020,470746,722322,617732,2860565
11/02/2020,470747,721424,616972,2859757
18/02/2020,470748,726244,617207,2865527
25/02/2020,470749,729485,617203,2870864
03/03/2020,470705,730628,617240,2873279
10/03/2020,470706,740058,616925,2874525
17/03/2020,470706,736023,617686,2879824
24/03/2020,470709,830806,726120,2899632
31/03/2020,470598,840317,826075,2925697
07/04/2020,509866,861082,869175,2959699
14/04/2020,509866,861630,888568,2997426
21/04/2020,509838,862754,893099,3017235
28/04/2020,509838,872873,911941,3052390
05/05/2020,509839,868606,948852,3067887
12/05/2020,509839,864533,963182,3113447
19/05/2020,509840,869277,969918,3156486
26/05/2020,509841,868111,979419,3197905
02/06/2020,509840,865555,998030,3222645
09/06/2020,509841,871071,1012407,3262095
16/06/2020,509809,796286,1026247,3297933
23/06/2020,509810,774442,1026252,3325874
30/06/2020,509811,771073,1590116,3365143
07/07/2020,548758,757517,1590810,3391889
14/07/2020,548757,753643,1590529,3416231
21/07/2020,548758,748182,1590467,3435197
28/07/2020,548739,749272,1590573,3462835
04/08/2020,548741,744500,1590036,3477545
11/08/2020,548741,741703,1595531,3499332
18/08/2020,548726,742218,1595581,3518137
25/08/2020,548727,741732,1595907,3537676
01/09/2020,548767,741271,1595890,3554309
08/09/2020,548767,745552,1596613,3567925
15/09/2020,548768,739829,1596711,3589304
22/09/2020,548769,743134,1596724,3613795
29/09/2020,548772,745885,1596905,3643253
06/10/2020,559278,738196,1753336,3654302
13/10/2020,559278,733773,1754292,3678354
20/10/2020,559279,736563,1754133,3693550
27/10/2020,559281,750903,1754149,3717492
03/11/2020,559281,738415,1754124,3723943
10/11/2020,559282,744130,1754744,3738749
17/11/2020,559282,750550,1754398,3769253
24/11/2020,559282,753250,1754285,3800997
01/12/2020,559286,753063,1754458,3816595
08/12/2020,559280,758982,1756042,3848816
15/12/2020,559280,758830,1755988,3875534
22/12/2020,559280,761088,1792923,3895605
29/12/2020,559281,761680,1792839,3900861
05/01/2021,536542,758672,1793194,3890916
12/01/2021,536543,755659,1792754,3899757
19/01/2021,536543,760134,1793095,3925873
26/01/2021,536543,752300,1792808,3942589
02/02/2021,536544,743309,1792724,3960679
09/02/2021,536544,745829,1792645,3979454
16/02/2021,536544,745037,1792915,4004639
23/02/2021,536544,743403,1792947,4028265
02/03/2021,536536,739023,1792847,4042081
09/03/2021,536536,737563,1792730,4053505
16/03/2021,536537,736013,1792862,4072072
23/03/2021,536537,732340,1792779,4100574
30/03/2021,536537,735146,2107633,4125705
06/04/2021,499316,754588,2107436,4132771
13/04/2021,499316,754423,2107165,4153363
20/04/2021,499295,747921,2107112,4167871
27/04/2021,499295,752407,2107101,4199477
04/05/2021,499254,753464,2107246,4207981
11/05/2021,499255,752401,2107066,4230046
18/05/2021,499255,750841,2107105,4258493
25/05/2021,499259,749366,2107111,4287434
01/06/2021,499159,748229,2107380,4302861
08/06/2021,499159,746732,2107204,4327042
15/06/2021,499159,754751,2107189,4339838
22/06/2021,499160,761866,2107128,4368382
29/06/2021,499160,760151,2217338,4400478
06/07/2021,514692,761410,2217250,4414455
13/07/2021,514693,756528,2216820,4438509
20/07/2021,514693,752463,2216790,4466711
27/07/2021,514691,757147,2216803,4499404
03/08/2021,514692,749377,2214263,4509032
10/08/2021,514692,753848,2214209,4526927
17/08/2021,514696,757332,2214244,4549742
24/08/2021,514692,752577,2214261,4571246
31/08/2021,514692,879682,2212383,4584555
07/09/2021,514693,885316,2211456,4596069
14/09/2021,514693,883189,2211778,4613073
21/09/2021,514718,884204,2211784,4633866
28/09/2021,514718,886212,2211343,4660934
05/10/2021,517801,896045,2208846,4666456
12/10/2021,517801,897861,2208876,4689747
19/10/2021,517802,895720,2208839,4714352
